word,n,is_phrase_member,category
chic,5,FALSE,
china1,5,FALSE,
chinee,5,FALSE,
chinex,5,FALSE,
chinoise,5,FALSE,
choo,5,FALSE,
chou,5,FALSE,
christmas,5,FALSE,
chuck,5,FALSE,
chuen,5,FALSE,
church,5,FALSE,
cocina,5,FALSE,
cookies,5,FALSE,
corp,5,FALSE,
cove,5,FALSE,
cozy,5,FALSE,
cream,5,FALSE,
cultural,5,FALSE,
cun,5,FALSE,
dah,5,FALSE,
dang,5,FALSE,
dar,5,FALSE,
delicacies,5,FALSE,
deluxe,5,FALSE,symbols
deng,5,FALSE,
earth,5,FALSE,
easterly,5,FALSE,
elephant,5,FALSE,
faith,5,FALSE,
fantastic,5,FALSE,
fantasy,5,FALSE,
fay,5,FALSE,
flatbread,5,FALSE,
fly,5,FALSE,
global,5,FALSE,
goodies,5,FALSE,
grandma,5,FALSE,names
gum,5,FALSE,
happi,5,FALSE,
haus,5,FALSE,
hay,5,FALSE,
heights,5,FALSE,
herbs,5,FALSE,
hills,5,FALSE,
holic,5,FALSE,
holiday,5,FALSE,
hou,5,FALSE,
huts,5,FALSE,
hwang,5,FALSE,
hyang,5,FALSE,
hyvee,5,FALSE,
indo,5,FALSE,
ingcredible,5,FALSE,
isle,5,FALSE,
jackson,5,FALSE,
janbo,5,FALSE,
jang,5,FALSE,
jennie,5,FALSE,names
jiu,5,FALSE,
jojo,5,FALSE,
judy,5,FALSE,names
jung,5,FALSE,
kanton,5,FALSE,
kitchens,5,FALSE,
kitty,5,FALSE,
koon,5,FALSE,
kuo,5,FALSE,
kwang,5,FALSE,
las,5,FALSE,
leonard,5,FALSE,
lichee,5,FALSE,
lilac,5,FALSE,
linden,5,FALSE,
madness,5,FALSE,
meal,5,FALSE,
meat,5,FALSE,
meow,5,FALSE,
metro,5,FALSE,
ming’s,5,FALSE,
mix,5,FALSE,
moment,5,FALSE,
mount,5,FALSE,
munch,5,FALSE,
nana’s,5,FALSE,
nanjing,5,FALSE,places
natural,5,FALSE,
no1,5,FALSE,
nong,5,FALSE,
nyc,5,FALSE,
oakland,5,FALSE,
oishi,5,FALSE,
